ParlaMint-IS_2022-03-03-46.u1	To answer, financial and economic ministers, infrastructure and social and workforce ministers.
ParlaMint-IS_2022-03-03-46.u14	There's no way there's five senators...
ParlaMint-IS_2022-03-03-46.u16	The president must ask senators to honor public speakers and members of Congress to keep silent while the speaker finishes his speech, not four, to speak out of his seat at once.
ParlaMint-IS_2022-03-03-46.u17	Give him an extra minute.
ParlaMint-IS_2022-03-03-46.u18	I'd like to say what. The senator and the people here have expressed concern that, of course, when people hear the truth, they feel hurt. [[Laughter at the Hall of Congress.]] The fact is, the banks listened. The fact is: The growing stage in the country is lower than that of many times before. The fact is that inflation is growing, and we need to be on guard. We'll be ready for that in the government, and I know that a lot of people here at the council will be willing to join us in that.
ParlaMint-IS_2022-03-03-46.u19	A respectable president. Of course, it is tempting to continue this inquiry asked earlier. It's obvious that it's coming to the highest level. Web Minister something out of balance. But okay. I'm going to talk to you about a matter that's in the close-up company here at the capital area, an area as high as the highest level. A minister should know. I hope that it won't upset him, even though I ask about the Hellish oath, but I am one of those who marvel at me in the long and repeated close of Hellishes this winter. I just want to quote the words of the Mayor of WhoTypes where it says, as all of us: We have shown all the understanding that roads can close, but the feeling is that the Hellish oath has closed more and longer this winter than before, and most of all, it is the feeling that it is open later and that the end is longer. I'm saying that, too. Since 1966, I've been going a lot of times a week, many times a week in Alfus, my second home society, and I know exactly what I'm talking about here. So I want to turn the mayor's words to my wife when she says: "It's that feeling that it's not being done enough. I would like to point out that in the last ten years, there has been a huge migration of people east of the mountain, to Hoatotype, but also to Aargour. We'll be blessed to see that large companies make a gap there, but this means more traffic to and from the middle of the area, between these areas, except that tourism has improved significantly and hopefully starts to do it again. I'd like to ask the highest. Minister: Are there any plans to take into account what meteorologists have said, that we underestimate increasing weather ethicism, including In this area? Has a minister found with the roadmaking process and entered it to see if someone else is shoveling and whether these words are being said on the part of the local people? Most of all, I'd like to ask the highest. Minister if he has any thoughts about reevaluating plans for tunnels under the Hellish oath, if there's anything in his pipes about reinventing that case.
ParlaMint-IS_2022-03-03-46.u20	A respectable president. It is good to have an opportunity to discuss these subjects that have naturally been well discussed. You're right. According to one senator, over the years there are more and more people who rely on getting between parts of the country and perhaps even changing their community, more expectations. We often forget that we live in Iceland, and we feel that we should have this winter service and our expectations grow. I have a complete understanding of that. I don't think it's a feeling, I think it's a reality that the Hellish oath has been closed both more and longer at this time than for a long time. In the last 12 years, I have been driving quite a bit to Reykjavík, and I think I have been weathered more often in February than earlier, so to speak. We have naturally, because people have been complaining here and there because of this fact, looking for information from Vega. The fact is, it was reinvigorated. A new contractor began. The only thing that has really changed since last year is that the weather is much different. What I think we can say right now in February, and that's just because you're interested in the weather, that instead of the lowness coming and walking over to four, five hours and then there's a chance of shoveling, the weather's been going on for up to two days, and maybe it's a big storm, 25 meters a second. Another thing is, and it's also unusual and happens at long intervals, that it's colder, because snow has been over the southwest corner all the time, it doesn't come and goes as it has been. So the snow has grown, and it has been mild - tempered. Unfortunately, the answer is that the weather is unusually bad in Iceland at this time, and I think everyone is trying to do their best to keep the door open.
ParlaMint-IS_2022-03-03-46.u21	A respectable president. Yeah, there's a lot of weather, but when the weather's like a cool weather. A senator describes it, so we must ask: What will the government do about it? Has this been added regarding messages made to the road to improve the ministry? As I mentioned earlier, the mayor of Whoville said: "The feeling is that it's opened later. " It's shoveled differently. Now it's the highest. A minister has said that nothing has been changed, but is there not a reason to change the course if the weather is in such a way that it is closing over the pagans much more easily? There's more tranq than there's ever been before. I want to reiterate my question about a tunnel. At one time, 2012, I recall that it was a tunnel was examined. There was then a matter of opinion. Things have changed since then. There's a lot more traffic. We are calling for traffic security, and we are calling for a payment for the group of people who live east of the mountain and have to come here to the capital area. [[The president calls.]] So I want a minister, depending on his opinion, that tunnels will be better examined. [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u22	A respectable president. I have not recently examined the potential of a tunnel, but I remember that in this discussion, if it was knocked off the table, it would be out of control. ... witha verygreatheat and, actually, a lot of water in there. But I've asked a few questions myself, maybe I should start calling out for an answer, it wasn't because of the weather, if in some way you could build some sort of road barracks over the worst areas. The fact is, in those weathers that have been present, they wouldn't have helped anything because the weather of the Sand class is often the worst, but not on Hellishön, so you just say things the way they are. The fact is, maybe the only thing that's changed the public defense, has it? The rescue forces that often help, as well as the police, have had increased pressure to close. And when the worst was happening the other day, people actually closed down an hour late and there were dozens of cars stuck, which then took more than 24 hours to release. So I don't think we have to accept that Iceland's weather is at least a road, and now in February it was particularly shitty, but I hope it's over. [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u23	Mr. President. The vast majority of Western weaknesses in response to the Russian invasion of Ukraine and the consequences for which man envisions the international community have been the particular amount of Europe's energy from Russia, especially gas. Thus, the importance of the production of energy for the Western countries has been shown to be enough for itself. It is clear that this will not just happen by setting up windmills all over the strip. It is important, however, that these countries are increasingly shifting from coal to oil and, especially, gas. Therefore, there is much discussion in the United States and in many European countries today that countries that can, in turn, need to increase their energy production. The president of the United States declared that the country's supply of oil would be released by that day. You're going back to the gas and oil industry in Alaska. In Britain, there is much discussion about the need to use the resources there, especially in the form of gas. Norwegians have now released 53 new oil and gas search permits in Norwegian jurisdiction. It's out of the question, in the highest opinion. Ministers to abandon plans to ban oil and gas research in Icelandic jurisdiction? The government's plans were never reasonable, they have done nothing for the environment, but now this too has become a matter of Western status in a changed world.
ParlaMint-IS_2022-03-03-46.u24	A respectable president. The government's contract says that oil will not be taken out during the election season, but it does not permanently prohibit the use of such possibilities in the future - which would be a different decision in my mind. I agree that these things need even. to look into the context of the safety issue and in the context of a possible sovereignty case. But why don't we just look inside here at the council and face the fact that the General Assembly of Iceland does not complete a frame plan to last nine years? Things are being discussed in the wrong order if we, without any developments in this discussion, are starting to turn us to oil and gas. What faces us now, including. Because of the economic impact of the armed conflict, we are being able to reach within the country, here at home, to use sustainable energy to meet our energy demand for the future. What has to do with the possibility that, in the future, the possible use of oil sources in Icelandic economic law should come back in priority. What this government has said is that it is not on the agenda. Now the government has set up a frame plan, and I think we must come together and find a way to complete its payment so that we can follow through on turning to the fourth stage and using the benefits of sustainable energy.
ParlaMint-IS_2022-03-03-46.u25	Mr. President. I am quite satisfied with this answer because I felt the highest. Ministers should be this way, rather, moving away from the current government bill on government consultation, the ban on the search and processing of oil and gas in Icelandic jurisdiction. So we keep out the hope that there will be a partial revision. I can say for sure, too, with the highest power. Minister on the importance of making better use of environmentally, renewablely, domestic energy, but I don't really think it's possible. Minister to blame the council. It is not as if the government has done much to turn to the council and submit to its administration in order to set matters up and complete them. Why hasn't the government been able to complete a frame plan? That's much more of a question. Could it not be that there is a national problem? Another question for the highest. Ministers on the response to the situation today: Is it possible to reduce, although only temporarily, the amount of fuel required to reduce the high prices predicted in this country?
ParlaMint-IS_2022-03-03-46.u26	A respectable president. The reason why I am stressing the conclusion at the council on a frame plan may be the existence of the law on this subject, which was in its nature cross - political agreement to find a new way of handling and subsidizing the energy resources we had in the country, how we wanted to sort them out, what we wanted to protect for the future, whom we wanted to use, and who we were going to look after. If the political treatment of these cases continues in a conflict, I believe that the very basis for the legislation is breaking and it is now short enough to take away legislation and just return to the old layer and take one option at a time. If the conference treatment of a frame plan remains in political conflict, then the principle behind the law is no longer in place. Then there is not the agreement to follow that course. That's why I say, this time it's going to be a big challenge for the council. [[The president calls.]] This cannot be based solely on the will of a greater part of the governments at any one time. [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u27	A respectable president. Inflation is on its way, and the flame of inflation is on its way. In this discourse, in the middle of Covid, it said the highest. Secretary of finance asking me that he would have little concern about inflation. I think that there must be a change now, and today there are increases in necessities. Who is the primary target of this? Yeah, the worst place in the social security system. In a letter as highest. In 2013 a minister of finance sent to seniors during the election campaign.Unable to connect to POP server %s. Error sending password: ▪ We want older ones to enjoy the benefits of their labor. Governments should nurture the elderly, not burden them with unfair taxation. He also said: We're going to cut off the income ties of a pension. It is truly a matter of righteousness. What is the situation now eight years later after a stable session? Secretary of finance for the government? Pension pay cuts the pensions off at 45%. What does it mean in English? Yes, that means a person with a 200,000 k. In a pension fund, you'll get 64,000 bucks. - 64,000. $200,000. in the social security system. It's almost 70% tax and decrease. Is that normal, topv? Secretary of finance? I ask: What did a minister mean by these words: We are going to remove the income of a pension, which is truly a matter of righteousness? Is he going to deal with the massive loss of his pension system?
ParlaMint-IS_2022-03-03-46.u28	A respectable president. In the social insurance insurance system as it was then built, a group of reforms called basic pensions, long in good condition, became unmerited. In our day, we felt that there was a lot of work to be done when Joanna's government started to cut the basics of life. He is the one I was referring to in an quoted letter, and we immediately entered into it as one of the first works of the Independent Party and the forwarding that was elected 2013 to eliminate the revenue of basic life. That's what we did. So we made promises in a house, but we did much more. We reduced the percentages. We reduced any number of declines that had been introduced into Social Security in 2009-2013, and then we did more because in 2016 we received new rights that have been shown to have increased the benefit of social security to those who paid more money than what happened in terms of salary growth. This is the main reason why social security in the pension system has grown from nearly 40 billion in 2013 to about 90 billion today. That's a 50 billion - billion - dollar return to pensioners. We're spending more than 10% of all of the government's income in the pension business, about 90 billion expenses. This isn't a legal system. This is a reform system designed to support those who have not been able to use their years to build up their pension rights. The plagues. A senator will discuss, let's just seriously discuss how much it would cost the public taxpayer to take it away from everything. I guess it would cost us well over 100 billion a year to take all the damages and take them away and change the social security system that it can never be. Is it really the Polish movers to send benefits to people completely independent of entrance and economy? [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u29	A respectable president. V.E.G. The secretary of finance is turning out of the way he is used to. He's talking like everybody's in the same basket. The worst are not in this basket. The worst-cased people are not in this basket. There is no power to buy and no power to buy. I'm the highest. Secretary of finance to prove it. How can a person gain power when he has a 4.6% rise to 6.2% inflation? How is it, if we take it for example, that now property taxes are getting out of control? In fact, it is complained that property taxes rose by 8% above inflation. On whom? The worst of them. And to turn out just and say everyone's having it so amazing is just a twist. I'm talking about the worst of it. You always say there are so few people, they're so few, but why don't you do anything for them? If they're so few, it must cost a little.
ParlaMint-IS_2022-03-03-46.u30	A respectable president. I'm gonna let it lie between parts who's turning out of here and who's not. But that's right. A senator says that in this year 2022, as we see increasing inflation, the lowest paying of the people and those who have at least been threatened. You're absolutely right. I'm not gonna argue with you about that. This is just my saying that we need to worry about the inflation caused by these people. As we look back on the 2013 results and ask ourselves, " How has my country been able to secure the power of money improved, the result is clear and measurable? ' With this group, we have been able to lift heavily. When my comments are referred to that I say that the group is small, that it is not large, it is being referred to as my statement that there are few in the pensions of social security that have no other income than those that come from public security. There are very few people who have no pensions, no remunerations, no financing, no forwards of any other kind but the social insurance benefits. [[The president calls.]] These are few individuals, but we have been lifting up especially with them.
ParlaMint-IS_2022-03-03-46.u31	V.E.G. A minister of justice expressed special concern that refugees from other places, from Ukraine, will misapplied the efforts made by a neighboring state of Ukraine on their border to cross the border. A word of speech told the Minister, by permission of the president: ▪ Many countries are concerned that people who do not carry their health are taking this opportunity to enter Europe. The same minister has not only doubts about the integrity of the refugees who are now working hard to get out of Ukraine and in shelter, he also turns his eyes and spears to refugees in Iceland, and accuses them of blocking the way of the Ukrainians to safety in Iceland, in fact, that they are preventing refugees from being taken to the U.S.A. He calls attention to an emergency situation in the Foreign Institute of Iceland and promotes hostility toward these groups, stirring them up against one another. I've seen an interview with the highest. Social and workforce minister where he holds out that the National Institute for Refugees will not stand in the way of being welcomed by refugees from Ukraine. So I take it to say that a minister disagrees with claims at the highest level. Minister of Justice, at least as far as the service is being blocked. I'm not asking the minister's position on these claims, I would like the minister to express himself when the highest officer of foreign affairs shares these tasks with the highest level. Social and employment secretary, expressed himself in this way about these vulnerable groups, as it really is. Isn't it against him on the side of the board? Is this dog-skiing thing supposed to be allowed to stand entirely unfashioned by the government? [[The president calls.]] Can this just for the government of Katrín, Jakobsdóttir's daughter?
ParlaMint-IS_2022-03-03-46.u32	V.E.G. President. First thing I want to do is thank you. A senator for the inquiry and for taking up the cause of escape from Ukraine because of this tragic war in which we all agree that it is terrible not only for the people living there but, in fact, for the way they threaten world peace. I've made it clear, topv. Secretary of state, commander. Prime Minister, also the highest. Ministers of Justice and other ministers, that Iceland will receive people from Ukraine. That is the point, and we will, of course, stand. I think it is very important that we cooperate with refugees from this area and with other European countries when they step forward and receive people, receive with open arms those living there in situations that we all find very difficult to put ourselves in. I think so, so I'm about to answer a question. A senator, that in such matters, the best way to speak with caution, speak about people, and speak in a way that allows us to be guided by peace, is that we can remain in democratic communities and enjoy the well - being that all of us want to keep building up.
ParlaMint-IS_2022-03-03-46.u33	A respectable president. Speaking with caution may be a rather weak attitude toward the kind of speech that has been going on, so I'll say no more. I condemned this statement and said it with repugnant points in an alien politics in Iceland that I would have experienced. But, yes, you can ask the minister to speak with caution about a group of proverbs he faces. The minister also said that he was calling attention to the serious situation when refugees from Afghanistan, Syria, and other war - torn states were stopping the situation from the Ukraine. He will give us a new foreign bill that will solve these urgent matters. It's now at the top of the line. Minister to take care of the shelters of the inmates. The sensitive category has just been transferred to the highest level. Minister. Will he be able to provide accommodations for refugees other than those from Ukraine in order to bring in the right refugees? [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u34	V.E.G. President. I'm going to make it clear that there is not being a tap or anything when it comes to receiving people from Ukraine. We will not allow the affairs of other groups or the situation at the National Institute of Iceland to influence our welcoming people from Ukraine. There wouldn't be much humanity in it. As for the writing of the bill, it's the highest. Minister of Justice, as we speak. In fact, it has been presented there by a senator in his consultation with the government. I haven't seen the bill since it came out of consultation, and we haven't considered the part that turns to my department. But, of course, we will, and the bill will be expected to happen to a government as it is, and we'll talk about it when it gets further.
ParlaMint-IS_2022-03-03-46.u35	A respectable president. I come up here because of an answer or rather, I don't have any answers to written inquiries. This is one of the tools we have to call for information and conversation with the Minister on data. I see it's the biggest place in the world. Social Affairs Minister who owns e.g. After answering a question that I submitted to him in the middle of January According to Congress, he should have 15 days of activity. I have another inquiry as the highest. In December, a health minister was contacted. Of course, there may always be special circumstances and circumstances, but the time has come to be so much. I would like to help and assist the president of the Parliament to put pressure on a minister to offer answers.
ParlaMint-IS_2022-03-03-46.u36	President. This is my favorite part of the President's conference board. I have a program that I always start when you're asking about it, and right now, there's a lot of unsatisfactory queries. On average, 58 queries have been answered during 25 active days, more than what is supposed to be. There are ministers like Ministers of the Interior, with 33 days of reply time, social and workforcer with 31 days of reply time and energy and climate minister 33 days, to draw the skunks out of these numbers. The others are doing a little better, but this is what she is now. As usual, we are getting answers later than we expect our work here sometimes is that we need information fast to win Congress cases, committees. Especially in the committees, it compares to seven days, so once again, do better here.
ParlaMint-IS_2022-03-03-46.u37	A respectable president. We have come up here at the council several times in this year to draw attention to how few Ministers are coming to represent answers during an unpublished period of inquiry. That happened last night, as it was estimated that there was not even supposed to be a minimum law on how many Ministers are before answers, even though this has been added, to a minimum. We reached three with this tip. Then I'd like to mention that for the time we've complained about this, we've been told that there are other ways to get answers from counsellors and from the government, including answers to written inquiries. If we don't get the answers to the written inquiries we make, it's a serious matter. That's why I'm pointing to the highest. The President to direct the government to show that she has a legal obligation to represent responses to the council and that the council can use the instruments of law to sustain the government.
ParlaMint-IS_2022-03-03-46.u38	A respectable president. I think this is exactly the context of the parts that really matters, that we're starting a new election in such a way that Iceland's record has fallen in a number of Ministers and consultants. Still, this seems inadequate for ministers to repay the council. Ministers are not here. They are not answering written requests. Nevertheless, the 2 billion ministerial servants are not bringing better results from this government. I am concerned about the rhythm of a new election season as well as the attitude toward the council. We present these inquiries to provide important information for the Council Building. I urge the President to push the government officials and remind them that my inquiry, the oldest of the few, is from the beginning of the month of December.
ParlaMint-IS_2022-03-03-46.u39	Mr. President. Regarding the response of a minister to written inquiries, it may be appropriate to recall that in 2011, there was a delay in answering from ten days to 15. Last year, an attempt was made to extend it, from 15 days up to 25. Then it came about that the board and the monitoring committees all agreed to reverse that trend and say, "No, we'll stick to 15 days." The committee added that it would be appropriate to call for more thorough support if the secretary is unable to answer a request within a deadline. Now it's just not. This has not been followed, neither by the council nor by the council, it seems to me, because the ministers seldom submit a written request to be returned after a deadline will follow no logical support. This must be followed by the Senate's office, as it were a year ago by the court's office.
ParlaMint-IS_2022-03-03-46.u40	A respectable president. I just want to agree, I'm one of those waiting to get an answer to a written query. I've often wondered, but after the problems have increased so much and the names change, I'm just asking if there were written inquiries at the wrong place, they don't know where to go. Even the Ministers themselves do not know about their ministry. This has become a bit of a roundabout, and I really hope that the government begins to clean up with her and she could start by shortening the name of counsel and minister, taking a few dashes away, and starting to respond to inquiries.
ParlaMint-IS_2022-03-03-46.u41	A respectable president. I think this discussion is a sign that the Directorates and Ministers do not follow Congress on queries and do not respect 57. g. The Congress code. In the short time I've been here as a new senator, I've been aware that the House of Congress can simply disrespect Congress and disrespect the General Assembly. We'll see this in the Civil Rights case, where the Council will not be given reviews from the Foreign Institute as per law, and then again now. I believe it would be worth revising the Parliamentary law with the aim that the level of Congress could be at least a minister of some kind of rebuke or acquiesc to the premeditation. It is hoped that the body of Congress that the government will support will move or help in order to have some discipline over the European Commission. So I think it's very important to study the Congress Act with this objective, and I challenge the Senate to also protect the respect of the Generals. I think it's important in itself, just for us as an institution. [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u42	A respectable president. We're talking about answering queries. Of course, it is also a very bad habit with the stewards of this government and doubtless many others ahead of it not to answer in unsubstantiated inquiries, as we have seen here earlier today. The only tool that the senators really have to deal with is to want to do so, but it's on them. Then I wondered what tools we have, in fact, to get a minister to answer the questions they are addressed to, because speaking of respect for the General then it must now be a minimum respect at least to try to answer the questions that people are directed instead of going through a wide range of areas of life and not answering. But okay. Enough about that. I also wanted to come up here and use my trip to ask the highest. Mr President, what's the story of a legal entity designed to work for the Parliament's Constitution and how they worked together with the General and Education Committee's request to be handed out to the citizens' rights from the Foreign Institute. I don't know any better than this legal opinion should have been made and I wonder what has caused the delay.
ParlaMint-IS_2022-03-03-46.u43	The president wants to say that when he applied yesterday, it was said that this opinion was referred to as a final work done by the lawyers of the council.
ParlaMint-IS_2022-03-03-46.u44	President. I'd like to agree with the members of the council here who have spoken and therefore strongly directed it to the highest level. President to use his authority to stand with the council. The legislature is in a specific battle with the Commission, and it will be at the highest level. Mr President has come to realize that he's a member of the legislature, not the executive authority. I trust the president very well to step forward and, as I say, exercise his authority. Here, without a guilty plea to a minister who did not answer questions here in unsubstantiated inquiries, the minister was in some balance, when the president responded very well and directed the council and used certain discipline. All right. I wish that he will administer similar discipline when he applies our counsel to the executives, i.e. Government. So I strongly point to the highest. President.
ParlaMint-IS_2022-03-03-46.u45	President. Iceland is a republic with a concierge, which is a key. That is why the council is asking the proposed question: How are the laws and funding handled? Therefore, ministers should answer when asking them. As they're being done here now, ministers will be arriving from the council. The Ministers are actually looking forward to coming to the council and telling what a professional administrative agency, the European Commission, is doing, in the implementation of laws and legal documents approved here at the council. But this is somehow contrary, there are ministers who manipulate everything back and forth, and if they report that something is being mistaken in a professional administration, it is the decision they're complaining about. That's why we're not getting any answers from it. Ministers need to tell about their own mess. That's the problem we're dealing with here. That's why we don't get answers.
ParlaMint-IS_2022-03-03-46.u46	A respectable president. A minister orders an office not to obey the law, not to carry out his duty to the council. V.E.G. In the media, a minister proudly declares that it is for his orders that an institution does not follow his duty to the council. V.E.G. Ministers don't come to an unprepared question period at the council. V.E.G. Ministers do not respond to the written inquirys of members of the Parliament to the minister. Now that I'm new to this council, I came here for the first time in the fall, and I'm not alone. There's a lot of new people here at the council. I wondered if there might be one reason why the government seems to be holding little from the greater part of the council. So I just want to say something. paritaprevir This is Eyjólfur, Ármannsson of a year ago. I challenge members of the greater part and the highest. The chairman of the council is defending the respect of the council. It's the council that tells the government what to do, not the other way around.
ParlaMint-IS_2022-03-03-46.u47	Mr. President. When the written answers to the council's queries arise, you may wonder if the answers or questions are unpleasant. I think so, for example. that as for the inquiry made by Þorbjörg Sigríður Gunnlaugsdóttir and started with the discussion, it is a matter of access to psychological services independent of the economy, the complex promise of the government to substantiate the psychological services. Let's just look at the numbers there. On December 8, the inquiry was submitted so that the 15 active days ran out on December 30. A letter came from the Ministry of February 7, where the request was made. This letter did not even fulfill the letter of the Law to make a written account for reasons taken or when to expect an answer. It didn't come out, and it's like a whisk. paritaprevir According to the Eyjólfur son of Ármannsson, a crime on the part of the Ministry. As well as the clear will of all administrations and monitoring committees, from a recent year onward, this issue is being made clear. Will this pleasure be done, Mr. President?
ParlaMint-IS_2022-03-03-46.u48	A respectable president. When I decided to request a discussion on the interaction of inflation and interest, it was because we are living at this time a lot of instability and inflation in Icelandic society, an instability that seems to be pouring on us at regular intervals, and the Icelandic public will have to deal with us in the form of poverty, change in growth, inflation, and inflation. The public does not control these forces, which most control the changes, but they eventually suffer most damage because of the impact this has on the standard of living. Who is wondering, though, about the growth trade, the binding of banks, and the balance of daily life? I allow me to say that most people lack knowledge to grasp such terms. However, each of these factors has much to do with the survival of the common people. Buying homes is a big decision for most people, making it necessary for them to set goals and plan for decades for loans. Sadly, though, most of these programs do not pass because of external factors that people cannot handle. Finally, the cost of property has always been high. I have, for example. Over the years, I bought my first apartment at 20 years of age. I do not wish my children to have to go through the same things that my generation has had to. I can't see, however, that there are any changes in water. As far as I can see, Icelandic coins that need both belts and bracelets are the reason for the instability we live in. At the same time, economics are undisputed to both the government and the Federal Bank during the past two years have paid off to the historic rise in apartment prices. For that reason, I'd like to ask the highest. The financial and economic secretary of four questions as follows: 1st Was an analysis of the impact of reductions in driving growth and binding, and changes in fluctuation support might have on the demand for housing? If not, why not? 2. Has the Department of Economics talked to Iceland's National Focal Bank about what measures it can take to help out from the direction of growth in which to combat inflation? 3. After a collapse, the direct growth rate was irreversibly followed by the disastrous consequences of national short term and short-term and long-term domestic commitments. Today 400 billion additional bonds of the households are clearly identified as a threat. What lesson will the government learn from this, and how will it prevent it from repeating the mistakes in the collapse? 4. Growth in driving growth increases growth in wax metabolism. How will financial and economic ministers promote their limitations and their negative consequences? The instruments used to set the Icelandic economy have always two sides. Much, e.g. will increase growth in wax trade, which can lead to a successful success that again adversely affects the export branches? Should the late bank be acquitted and holy to intervene in the course of success when there is no end of talking about the benefits of wearing a liquid crown? If a dollar grows stronger, should not the public enjoy it? Should all our actions be based on export branches? A respectable president. I'm worried that a future bargain will be difficult for the position that has come up. When the harbor bank increases, rather than allowing the crown to grow stronger, it is good for exports than for the benefit of the people. Looks like we're back in the same circle, where our young people have all the money they need to buy homes but now they have to deal with what we less than one generation had to deal with, i.e. cross-react growth and inflation that no one knows where the end will end. A respectable president. It's as if we've learned nothing.
