ParlaMint-IS_2022-06-13.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2022-06-13.u17	V.E.G. President. Thank you. A senator for taking this matter into consideration and these questions and the basis for the project. A senator comes in here in a second request. I think this is all there is to go on. This has to do with the fact that my career predecessor set in motion a similar suicide - related group. So we need to grab the cable there and start this mission. V.E.G. Secretary of education and child care has already set in motion a similar group for our children. I'll take what. A senator only at the word, because he also introduced an international awareness in this series. This is true, and we are to take the lead in this discussion and in the field ministry. I'll just wind up on this mission.
ParlaMint-IS_2022-06-13.u18	President. Now, we're completing Congress, and the natural policy of government is to try to negotiate the end of Congress and the outworking of the issues that the government's majority cohesion is all about to rule out. There are a number of cases that I would like to discuss in this inquiry to the highest degree. Minister. A few years ago, a convention resolution on the construction of a digital carpenter was adopted, which, by permission of presidents, said: The General concluded to hide travel, employment, and innovation ministers in cooperation with the head of education and culture. Ministers at that time - to work a build-up and manage digital carpenters [...] The Plan will be clear about the progress of project, workout and funding that may be in cooperation with parties in the community. Here's a report from the highest level. Prime Minister of the completion of this project in these words: In March 2021, contracts [for three years] were signed with eight digital carpenters all around the country. With the contracts, the Ministry of ANR and MRN met the expectations of the General No. 19/148, and it should be noted that the operating ground of the digital carpenters should be strengthened, their management established, in their place, - to the age of 3 - to the age of three - guaranteed bioavailability of students in addition to their targeted involvement in employment and innovation. This was certainly not what the Senate concluded, signing a three - year contract with the builders who were already in progress. Then I wondered about how the council agrees, and in this case all the senators who were in the hall who had even added to the Senate resolution, the original interpretation was about the availability of high school students, but the Senate, the committee added to the basic schools and the people of the country: Who decides that the doctrine of Congress is met?
ParlaMint-IS_2022-06-13.u19	A respectable president. I want to thank you. A senator for asking about digital carpenters because the digital architecture that has been established throughout the country has proved to be very good. They are the first indicator into the technological revolution we are in. We are in this technological revolution, but it also gives us insight into the future, how we are using our artificial intelligence, and how we put this into our study. So I count these digital carpenters, and the emphasis as long as possible. A senator has put them to work, being an exemplary man. You're right next door. A senator that when I was a minister of education and culture, we finished this deal, whether it was at eight schools, in high school, which I thought was very positive. I remember we put more money on this than we had done before. A senator will correct me if I'm wrong. You have to say I just need to take a closer look, including. what's going on with the Ministry of Presidency, and compare it with the Senate arrangement. I agree with that. A senator's need is to look out for this. Of course, when the entire council has agreed to an arrangement, it is very important that we secure its progress, and it should be, in my opinion, a tool of the council, especially when everyone agrees to take the next steps. I'll come in a little bit better in the second answer.
ParlaMint-IS_2022-06-13.u20	President. This may be a more political question, but just in general, when it comes to a new government, it's just advising government and, in fact, even politics. For example, the change in the psychiatric funding laws, the subsidence of psychological services, it was approved here at Congress, there's law and rights about it, but it's just decided not to finance it. Consequences of applying for membership in the European Union, that interpretation was only taken up with some letter shipment of foreign ministers at the time, rather than by the council in one way or another, because it is a pact proposal, not a European decision-making proposal. Then maybe only on political terms; who decides? How can a decision be made when the council will have met its decision? I don't talk about when there is just an orderly right to finance a certain type of service that is not being done. How does that even work?
ParlaMint-IS_2022-06-13.u21	A respectable president. I agree with what. A senator's request is very helpful, and we own - and I'll take it to myself - perhaps more carefully to consider their progress and follow up. I'm saying for my part, because we're talking about politics and how we're suing it into the council, that I stressed it in my first term period to be for making a pact proposal to promote Icelandic as official and so on academic policy. This was most important to me to get a sense of what was going on here at the council. The nominee is so important because these suggestions and, of course, legal products are being fined, and the outcome will be much better after that therapy. I agree with that. A senator that we need to be more careful, and I'll take a look at this. As a matter of fact, I don't have my digital carpenters anymore, but I would like to contribute to making it better.
ParlaMint-IS_2022-06-13.u22	A respectable president. Today, we will discuss financial plans for the next five years. It has changed substantially and is the reason that last week the government of Iceland introduced measures designed to reduce inflation. At the same time, this action is intended to reduce the angle of the State Fund. The contribution of these measures is estimated to be 0.7% of GDP and accounts for 26 billion. Among the measures taken, there is a change in the payment of cars, a decrease in alcohol and tobacco pay on the free crew, a permanent decrease in government travel costs, a decrease in donations for political organizations. At that time, the budget and extent of value due to marine farming will be revised and the price - level price of the airport will be paid. At that time, there should be 2% and 0.5% at high school and college, and there will be a reduction in budget range from 4.1 billion to 2.1 billion. The next year's investment plans will also be reviewed in the light of the construction site. A respectable president. I can't see that these measures will deliver the target and will most likely affect those with the lowest income in this community. At the same time, there is also an introduction to measures such as decomposition of cost-employment tax on clean energy cars and 35% reimbursement tax due to film production, which, of course, will increase expansion. It's as if your left hand doesn't know what happens to your right. So I want to ask the highest. Prime Minister, if she believes that the action being taken will result in the result of the planned result, i.e. to reduce tension and inflation. Or is it just action that will get more money?
ParlaMint-IS_2022-06-13.u23	Mr. President. Thank you. A senator for the inquiry. Of course, the big vision is that we can move faster from the center of a government fund. As a result, we are detracting, and we are working with the Secret Bank to introduce the money policy. This is exactly what we do this time, i.e. with increased revenue, with increased maintenance and later investments, which are actually determined by the position of each investment so that we are not adding to the spell. Does this harmonize with increased support for filmmaking? I just want to remind you that the government's policy, declared, is to give special support to the software industry, whether through research and development support or film support. We consider increasing the development of economic and economic support, the variety of support, the increase in the number of them. That alone is an important economic policy. I'd like to say, because it's been claimed that this will take on the least of the people, e.g. The public service, to be overlooked in terms of maintenance of health institutions, nursing institutions, social security, health insurance, unemployment, courts - on these factors, we are not adding anything to the discussion that has been made of the changes. I'd also like to say that some of the suggested items, when it comes to earning money, are actually something I would consider the time, e.g. The retail price rate, as well as the growing income of tourism, and the reimbursement of fish farms, an article that we're seeing growing tremendously fast, just so we take an example of two sectors that will put theirs into it. We also need to watch that traffic - and - fuel currency, perhaps much faster than anyone thought, is the clear operation of the government in the interests of clean energy cars. [[The president calls.]] Of course, it is difficult to ensure that we can continue to earn money from these factors, while we continue to support the urgent energy exchange.
ParlaMint-IS_2022-06-13.u24	A respectable president. Thank you very much. Minister for the answers. I agree with her on the support of her software, but I don't quite understand the need for action that will increase tension at the same time as the action to reduce tension. I can't quite decide what's going on. A respectable president. I'm worried about the state of the homes in the country. The domestic situation is getting worse every day. The interest rate of loans continues to rise; the rate of loans increases by tens of thousands each month. People are starting to be reluctant to shop for food, fuel prices are highest, and I don't see any efforts to support these groups, despite the fact that a 3% rise in the movers was offered last week, leaving people on unemployment records. I'm just asking the highest. Prime Minister: How should we react to this situation? What will prime minister do to support his family in the country?
ParlaMint-IS_2022-06-13.u25	Mr. President. The actions that we have presented in financial programs will be further developed in a budget bill for 1923, which provides clear evidence that we are with the Secret Bank in the money policy. That is exactly what we have discussed in this hall for many years: How can we make the financial money and money policy work better together? There are countless examples of how it has not worked out over the years, but if we look, for example. during the pandemic, we will see how these factors worked together properly. It explains many of the good conditions in the economy and much better than was predicted. Now the situation has changed rapidly, especially since there is a war in Europe, and then again we need to revise what we are doing in such a way that the government supports money policy. I want less of it. According to a survey of the Habitat for 2021, the country's homes, regardless of what we look like, are inseparably disintegrated. But we need to keep our eyes on the ball. Especially do we need to look to those who are rented when it comes to housing expenses. And I want less of that, too. A member of the council is supposed to take our first action in response to inflation was to increase the payment of public security, increase in housing support, and child support because we want to make sure that the most efficient are affected by inflation.
ParlaMint-IS_2022-06-13.u26	Mr. President. A recent report by a state - of - health accountant has brought up a discussion of the number of subjects on a somewhat higher level, which is very important. The council made up a discussion on this subject the week went by. However, it is noteworthy that in this report, the mental health of older people seems to be in little space and little attention. This may be the case in one full paragraph of this, if I recall correctly, more than an 80 - page report. Today, 14 years have passed since, in the last year, a real contingency was proposed to develop a mental - aging ward in Iceland. That was just before a collapse in 2008. Then the collapse came, and nothing happened. However, there have been many health ministers since then, and many governments, but somehow we still seem to be waiting for this 20 - bed sensibilation clinic, which may include. This report describes the lack. Then there's my question to the highest. The minister of this matter: Does the wise minister take special advantage of us to let at last become the result of such a division, and in what way? And second, what obstacles are being made to the highest. A minister especially in the way of our letting this happen to us? Is it to make up the cost of such a department or funding that stands in the way, or is it more organizational, and I don't talk about factors involved in caring for such a department?
ParlaMint-IS_2022-06-13.u27	V.E.G. President. First thing I want to do is thank you. paritaprevir For this good inquiry, Þór Gunnarsson's son Ólafur. I wonder when it happened. A senator reviewed these issues related to mental health whether to approach the answer from the big picture and move to the core on the aging department, which has truly been interested, or answer the questions directly. A senator pointed at me at the end of a question. I'm going to start by answering the questions. It is true that the report of the Kingdom Accounting is very good, and it will only draw out, but it may not get much space, such as it does for the rest of the year. A senator pointed out. However, at least at least it appears. On page 47, it says that the land hospital, which we always have to work with, is clear, is doing well and feels the same way that, based on population and age distribution, the change we're looking at when we're talking about challenges ahead, is needed in 20 companies, and it can be assumed that about 25% of the elderly will be suffering some mental symptoms. And then, of course, like a what? A senator knows that this is linked to other diseases, such as addictions, brain failures, which are increasing, etc. I'll come to a later answer to what has stood in the way and what the challenge is really when it comes to organization, design, cost, etc.
ParlaMint-IS_2022-06-13.u28	Mr. President. I'm glad to hear that. The minister is interested in this case. Nevertheless, as I mentioned, many health ministers have come to work since those ideas first appeared. It's probably more than 20 years since those ideas first came up. For some reason, the National Hospital has not stressed this or the Ministry of Health. At any rate, we'll have a side of the same thing. I want to pray to the highest. Ministers to think only outside the box and consider: Would it be of the highest value? Ministers to cooperate with some of the nurses to accept that department, in the same way as they already do - there are agreements with at least two or three nursing homes for such a business - for permanent saving? Tells you the highest. Is such a course possible for health ministers?
ParlaMint-IS_2022-06-13.u29	V.E.G. President. Thank you. A senator's inquiry and what he came here last time. Yes, I think it's absolutely inevitable, and the nursing home has been taking this additional assignment, and it's absolutely necessary to us. They've done all right. We need to make use of all resources and use out - of - hospital resources, mental - health care programs, mental - health services, and mental - health care services, as well as nursing homes, as they have been responding to the fact that somewhere we have to deal with this. It is also noted that health care policies for the elderly are being used, outside hospitals, for use. It's very important. Sadly, though, when it comes to caring for them, we have not given enough thought to these factors, to educate particularly gerontologists to handle this project, and there is something we must consider. And because we're talking about reports, Mckinsey's report also shows that we need to define a very good role and service, including this aspect of the ministry. [[The president calls.]]
ParlaMint-IS_2022-06-13.u30	A direct contemporanity, a rule of five days, is therefore required to vote on whether or not to take the case.
ParlaMint-IS_2022-06-13.u31	A respectable president. The aim of a fish management law is to promote the protection and practical use of fish, thus ensuring stable employment and inhabited by the country. According to my share. In the Committee, the bill goes contrary to the objectives of the laws for the protection of fish stocks, public interest, and settlements and is more likely to expand the present fishing system that has become increasingly critical of the public for years. In all reviews, change, or dilation, a code system is human work, and it does not muse in stone. At that, we must have the courage to ask if the system serves the nation's total interest. If not, politicians must have the courage and courage to make the needed changes in the system and I will vote against the case.
ParlaMint-IS_2022-06-13.u32	A respectable president. Here and here is a matter on a journey that remains in place of the eating of the sea. We in our memory have suggested that the case be brought back to the government because we believe it is more correct to initiate an overall review of the fishing system with the objective of ensuring a fair and just share in these same national resources before continuing to salutate new species. We are also concerned that there are many articles in nature protection removed from the government of fishing and will be elected against it.
ParlaMint-IS_2022-06-13.u33	Yes, Mr. President, I think we're doing good things by bringing something wrong on this hunt, and it's worth reminding that in the case of thonging, it's primarily a deal with landowners. They're gonna have to have a deal like that. We emphasize that prior to the release of a novelty license for those who think they may have to be considered and discussed by the Institute of Natural Sciences. It is kept in and it is granted. Then I would also like to reiterate that going outside the grid law does not depend on the start of a fishing fee, which is likely ahead of an article that we need to consider even more. But I think it's a good job to do it this way to get a better hold of this processing of these products.
ParlaMint-IS_2022-06-13.u34	Paybacks. Mr. President. I'd like to use this opportunity to remind you that this is the first operation program in gay affairs. I'd like to mention it, too. due to the decisions made by the Council, e.g. with the sex-friendly, self-sustaining legislation that led to the development of trans and intersex kids, Iceland took up five seats on a rainbow map in the affairs of queer people in the 18th place of 2019, then went up a few seats and is now entering the ninth position of Congress. I really hope that this plan will be one more progressive step in this series of issues. It has been important what the Council has shown relatively great solid solid solidarity in these matters, because these are crucial human rights matters that determine a huge share for a particular group in our community, so I want to use this opportunity and thank the respect, the General and Education Committee for a good job in these issues, and I hope that here we are going to do another step in this important matter.
ParlaMint-IS_2022-06-13.u35	A respectable president. Honoured, contemporaneous, dear nation. I wanted to draw attention to the queers or queers or to those who define themselves as men or women that they are completely dissociated when they arrive in the management of registered partners. It says that there is a 40% and a 60% ratio between men and women. There's no room for these people. This needs fixing.
ParlaMint-IS_2022-06-13.u36	Mr. President. This is a case that has many good things, but unfortunately, this issue is of the nature that identifies this government too much that the descriptions of the plans are good, but they may not be the same. In fact, I am deeply concerned about the possible effects, as the members of the Central Party discussed some details of this matter in 1st, and I heard very good talks from then on. paritaprevir Arndís Anna Kristínardóttir's daughter, Gunnarsdóttir's daughter. paritaprevir In the second discussion, consider the Eyjólfur of the Ármannsson's Son. The concern is that by increasing the number of factors that need to be mentioned specifically, there are benefits to conclude that others are not protected. But what is far more concerned is that this bill forbids criticism of a certain outlook on life, firm opinions, and the Council to allow the law against criticism, so I resist this bill. That's when we're talking about votes.
ParlaMint-IS_2022-06-13.u37	A respectable president. We've found that this bill and, in particular, the Eyjólfur of the Ármannsson, we've had some problems on this bill, and we're also particularly sure whether we're taking the prohibition on blasphemy again and there's more on this matter, and I think it might be a good idea to go back to a committee and try to reform. But as with the situation, we're going to have a party of Shockers on the nest.
ParlaMint-IS_2022-06-13.u38	President. I had the odd experience earlier that I was trying to censor only the committee opinion that I have here in a financial program with the title in one chapter of the program. What the hell's worse is a financial plan. There was a word in which she was inappropriately against some standard or such. I was impressed by this bill when it all came down to it, and I'd appreciate it if the government only remembered it and only accept it from informative to now, and it was clearly a little more familiar.
ParlaMint-IS_2022-06-13.u39	Prime Minister, Mr. President, I've been tracking a discussion that has taken place within the committee, and I honestly feel that in view of the legislation that already applies to equal treatment in the labour market, we are here. A senator's concern is that such legislation should apply outside the work market, which is in harmony with all our rights policy, equality, and how we want to resist any form of discrimination. There have been some activities that have been held that I don't have time to look into, but fine if the committee rethinks the matter between second and third discussion so that some of the misunderstandings that have been raised in the discussion can be eliminated. But I have to say, I find it incomprehensible if anything happens. Councilmen want to have a legal environment outside the labour market, not within the labour market, and resist the benefits involved in this bill.
ParlaMint-IS_2022-06-13.u40	Should the General and Education Committee on provisional measures to expand this arrangement so that it would involve more than just the labour market, and that is what is being brought to the council now in the form of this bill, and I agree with the highest degree. One prime minister who spoke about the importance of extending these laws so that they would reach the community in general rather than just the labour market, even if it is necessary on their own. It's coming into the rhythm of Generalis's will at the time. I've heard the matter should go into a committee between traffic and I don't make any comment. You can look at some things there better, but I thought it was a very much progressive step and voted with these matters with great joy here today.
ParlaMint-IS_2022-06-13.u41	I record that this law is being updated in accordance with what happens at the labour market. It's just like a figure of the case, and it's clearly out of the question. But I don't think I'm going to take it back into a committee and try to accept a viewpoint that's an option, and I'm going to do it here. But I reiterate that this matter has been repeated on the committee and carefully reviewed, and I think it is very important that to countries here before the Senate, they address a vote.
ParlaMint-IS_2022-06-13.u42	President. I've been a powerful spokesman for bringing these laws into effect, but I think it's important to make specific comments that we have in the legal process as they are today. The aim of the law on equal treatment regardless of race or nationality is to counteract discrimination and to establish and maintain the equal treatment of individuals irrespective of race and ethnic backgrounds in all areas of the community outside the workplace, but these laws have proved to be of little value in counteracting discrimination on the grounds of race and ethnic background, resulting in little success. Thus, the laws in the present form have failed to reach their goal and the benefits of adding more discrimination to appeals before adding them are unclear. In addition, we are not sure, and we are concerned that by bringing this bill back to the law against blasphemy that this council has taken away, and it's something we think it's important to look into the payment of this case because, of course, we want to improve the rights and protect the rights of all the groups here in Iceland. That's our theme for all our work here at Pirates, but we believe it's the right thing to do. This did not limit others'rights and freedom of expression. Let's say another time.
ParlaMint-IS_2022-06-13.u43	Mr. President. The main defense in this case seems to be that it has already made a similar mistake in another area, so we need to continue with it in this regard. It's like the story of Einar Einbjörn, Tvíbjörn Þríbjörn and all of them, and then we can expect to stay attached to this matter without the real content of the case. It's the same thing over and over again. It's a question of dressing. Like what? paritaprevir Þórhildur Sunna Ævarsdóttir pointed out and doesn't always agree. The benefits of this in the rights protection are very unclear. On the other hand, there is a very serious danger, and I would not just say danger. Rather, it is stated in the bill that there is the possibility of stifling criticism of human opinion, differing viewpoints, and here at the National Assembly of Iceland must be a safeguard of freedom of speech and criticism of any nature they are, whether they are bad, that good. We must want to defend public freedom in order to criticize the opinions of others.
ParlaMint-IS_2022-06-13.u44	A respectable president. We're gonna go for a second. paritaprevir Now, Sigmundur Davíð Gunnlaugsson has been talking here in a pita, or at least I have discussed with members of the Central Party II that there is a difference between communication, exchange of opinions, and discrimination. Here, discrimination is being banned, not forbidding disagreements and expressing it anywhere. So I think we need to make it clear that here is a prohibition against discrimination on various grounds, not against forbidment of conflicting views. It's just wrong.
ParlaMint-IS_2022-06-13.u45	A respectable president. I recommend here for a bill to correct a change in customs laws that include delinquency of tolls on products raised in Ukraine. The bill suggests the addition of temporary laws to customs. The regulations stipulate to eliminate customs from the products transferred into the state's customs area and, to all respects, the rise in Ukraine. Hence, this law does not cover products produced in Ukraine from the raw materials produced by other countries. The demolition of customs under the bill is expected to be temporary and valid and on May 31, 2023. With the bill's proposal, Ukraine's address to the EFTA states is instigating the Russian invasion that it will improve customs benefits for Ukraine beyond what is already recommended in a free trade agreement between parties. According to the Convention, industrial products and marine products are voluntary, and therefore the bill for delinquency will be proposed primarily for agriculture. The main objective of this bill is to show that Iceland wants to support Ukraine and thus show this support in action, making the necessary changes in law in order to pay for business in the troubled times of Ukraine because of the unscrupulous Russian attack on an independent and sovereign state. A respectable president. I would like to mention that this is a matter that is obviously very late and that has been arranged by means of variations, and that is commendable. But the bill has been decommissioned in the government and has entered the council as rapidly as possible after the occasion. I know there are few days left to survive this council, but hopefully this case can still be handled on a committee. I have no doubt that such matters as this are highly supported here at the council. It is not expected that the bill will have only a very insignificant impact on government funds. I suggest that the bill be referred to what. The Economic and Business Committee and the 2nd Environment. after this discussion.
